,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-11-01,132011.60994742796,213923.1734464219,113284.24974522197,162782.22320179595,182274.78300474698,114260.37474739096,124636.12010067579,218200.81209940603,141431.19604881367,185787.7373782512,195462.6142164477,136356.38371126776,175925.39646884598,160396.0498347664,205578.4991762632,146835.98191373466,177787.2313588953,132330.0615833188,,140060.4713788724,108002.61885735014,158530.75955795657,103682.6209117673,117999.10995953604,134662.36318781087,121070.76197299866,114083.94323416578,158864.06691388713,,142976.19847793257,137585.3776265591,115257.88253709476,103201.21252221079,124985.22209858114,89894.94666247856,89237.97270621046,101332.26137999089,77014.00262824447,126597.14179157185,,174878.68989296383,88380.53106553522,102715.91552103152,92885.9929656852,155195.6099593071,,85389.01438266235,108160.4734657848,119619.44441476949,95615.07744549785,111609.18512764986
2000-12-01,132936.67410042946,216333.82985888855,114017.57037658377,164054.46856351852,183712.37705537662,114635.00285242121,125504.9658598898,221197.0449840608,142069.98910787413,186612.5893895074,197453.19503044407,137242.88942148458,176289.10981587754,161109.6592868592,206367.1347213909,148691.90555254708,178320.79337627822,133289.72200737693,,141712.84164550205,108612.58863202482,159415.13588780185,104170.30240936035,118443.9326120096,135258.2236284652,121959.93400886525,114500.52159412997,159325.20045657703,,144085.30087489067,137928.694971971,116342.1355378198,103657.54174265866,125579.39123842772,90387.49189254183,89875.85440158566,102002.7579688084,77613.99412351433,126844.01144614465,,176158.28592484692,88810.47606024763,103434.52008288057,93328.88158778187,155971.60506829622,,85785.16067276052,108057.30090944121,119960.55916681385,96112.80151965546,112079.57565373658
2001-01-01,133868.2124763036,218373.1265470653,114688.09816433351,165274.74077389808,185057.90777678415,114858.67283571733,126325.96785803256,223904.46810316047,142692.08665311176,187475.568514425,199449.6234859187,137879.2351931678,177098.4578052936,161841.27039326835,207027.55969203342,150381.44967054136,178817.5235110744,134221.2963682656,,143202.69021495743,109288.96153975533,160145.04304579506,104651.67632284707,118962.0524037312,135873.59613426772,122749.4920876315,114976.41575723041,159845.0771538868,,145173.9158595728,140355.974513785,117676.55751367468,104167.2799221981,126123.57213150135,90969.85650345258,90456.45425239415,102486.38493721117,78344.01868919493,127244.20814770837,,177279.44658973443,89310.6150104869,103970.6313433011,93879.78661789077,156831.91107069128,,86226.04130372395,108119.27194319473,120481.43261870013,96450.50848871558,112516.0284116206
2001-02-01,134694.48795792452,220389.57192281703,115354.26823750498,166290.33068679675,186542.2694366532,114824.87607472378,126960.00229940569,226376.64855863756,143312.61492668104,188329.07187041114,201330.42127691337,138516.84863080108,177927.40956297342,162617.61082629146,207680.6043361407,152189.85985826884,179103.24704815287,135022.9740408345,,144535.92149990718,109878.95537314315,160808.52846462248,105091.80902557868,119425.62776443727,136332.48272178418,123632.49826453485,115353.37879075271,160285.48777661019,,146263.74980484688,144197.21905487785,118911.52708295477,104598.97623247263,126655.3320886027,91344.79702979018,90805.54234062067,102651.96907882107,78800.89406522598,127649.90386018355,,178210.4540579417,89766.89745108353,104341.46371004812,94515.55052496078,157534.48221748925,,86653.89903050357,108342.06186845426,120830.87882992688,96755.19531074575,112863.2613209029
2001-03-01,135545.84484084893,222659.2474974013,116050.66010696883,167206.32565935832,188016.5624478165,114601.06203302967,127478.26408812321,228813.35661602765,143936.0925266268,189132.03997240274,203237.16018479955,139208.05656596186,179097.59571366772,163463.1375954702,208265.4556036255,153891.946569336,179274.8549913134,135707.60902284386,,145860.12580815834,110447.18297505191,161372.53287773547,105534.49213031773,119905.64459477477,136703.61449313964,124557.30977355404,115669.47309041301,160753.4883914104,,147425.0654263109,149100.90822474388,120067.89456315874,104954.72979819326,127186.956133757,91626.4164643445,91019.2915020369,102650.56452301802,79145.54782562534,128208.35785435022,,179245.86403356967,90201.90057459881,104751.94505245758,95184.5529599652,158299.69883398933,,87024.60181694334,108799.36347097853,118398.12359720195,96949.5950850733,113185.71864564903
2001-04-01,136435.7497486502,225481.281074282,116873.26733791006,168162.66161446078,189574.3851256465,114469.93576056972,127932.36918608459,231330.92766260324,144569.9415729904,189917.36600522467,205093.46866246816,139912.31995711,180878.93834269242,164308.48224449364,208963.90486181845,155647.65259092915,179453.165308865,136338.7013919254,,147294.2116686271,110942.73049066013,162131.66395779728,106009.48579891224,120234.39861101651,136977.96056968215,125486.34590555757,115920.63360235597,161162.025133957,,148775.34435296184,152812.49122187955,120978.91502346,105211.23278139043,127773.34285767555,91801.55431416247,91198.33090740832,102604.59729841778,79307.15105816173,128746.07214529939,,180442.0664418044,90591.97164373129,105280.02838472539,95761.91010292764,159029.37465983714,,87372.84821592395,109210.79644452769,114924.82536744706,97218.18297365725,113505.02177854751
2001-05-01,137420.07174713002,228309.15716732902,117774.2703597569,169218.84475471717,191111.9037537265,114513.96233539202,128483.26194295184,233931.98705257778,145213.32773504875,190596.2571546077,206946.09386462858,140750.43101242578,182912.31058723852,165208.3897667663,209973.46108085453,157607.31686432907,179554.5651526867,137035.86095541765,,148759.62924008627,111395.4660884803,163020.20220595392,106464.06453970088,120605.48113718354,137297.16451692377,126344.40499255092,116210.49219813058,161620.89808448637,,150211.7861476706,155888.1037855502,122067.95995307283,105465.19811347376,128379.13311039336,92122.34986549839,91520.0858601737,102807.58757296884,79623.37459746486,129272.24390211154,,181789.29597099664,90999.58724988613,105906.80232109527,96301.12556765282,159786.07535935726,,87678.02884091075,109812.92656916432,111330.44293978073,97525.68933591008,113851.44323416911
2001-06-01,138404.60203032734,230878.04865246802,118714.77225236018,170384.6168983308,192824.73218285423,114647.46070546129,129045.6651194562,236663.09626904913,145862.28516435425,191291.04763165652,208601.45693372085,141633.67596524386,184873.96671109847,166081.06238845782,211120.55273669495,159704.59042893644,179724.2949248854,137731.98526223606,,150226.4042208494,111809.76343107845,164089.77589533385,106926.88600491564,120999.62597108458,137618.23319017855,127154.01663297275,116493.48086618107,162099.3804509041,,151693.3780812719,158470.76733660698,123269.66602047598,105726.69539408888,129018.13543864485,92486.80042320688,91861.57924806488,103167.81630763235,79943.98884262168,129663.63392353947,,183147.24938571453,91433.74250585644,106592.12758341775,96823.3678153436,160529.0781696742,,87980.80820870242,110123.13077510639,110425.6898977062,97917.92531169132,114192.48634725691
2001-07-01,139464.67171322688,233283.11108293556,119725.83915601992,171608.5038907701,194669.1807141906,114804.28071209158,129628.71121377575,239559.27410747367,146479.70335748346,191948.17983929373,210233.96867101314,142544.82253239347,186845.67022447978,167010.9789510341,212379.84399269315,161803.55718000242,179865.40302728125,138426.2821170194,,151764.70589653018,112207.60695417662,165239.34143879687,107424.83202045703,121482.36032098437,137924.70362523952,127984.6505845881,116764.7045493292,162659.5810898263,,153281.9033784091,160893.23357768916,124624.07890147487,106022.54248780267,129698.76280135383,92906.97754072312,92145.12547987238,103605.35895441247,80264.51505936653,130065.16912221257,,184463.59626090794,91866.84047788991,107292.311430999,97335.34054127743,161236.41353735627,,88266.00350246568,110419.75823842321,110398.10436093276,98314.76111406587,114572.98903151385
2001-08-01,140532.55526130667,235600.42468014252,120797.50219255383,172893.21656617007,196705.12437358903,114945.14105505405,130246.55360664481,242715.06332679442,147090.29575339786,192757.7589985892,211842.15448913714,143660.00527259652,189019.2665829265,167959.49709825913,213608.283089668,163720.92131504687,180140.06783938102,139131.35322213123,,153439.84113630222,112655.80263393174,166506.9607828475,107973.35614142398,121876.82600055212,138273.47361647454,128748.91600731078,117084.11489128722,163296.86039539968,,155181.38596615635,162646.3839303855,125785.5154205301,106285.61738117888,130415.56921494333,93256.7984593953,92467.17944266436,103989.70655719929,80561.59924190807,130551.75840735814,,186167.74517401968,92249.29229239294,107934.58518336562,97815.61428587313,161985.5999252776,,88584.61039664126,110490.67940718621,110569.41701038559,98748.51450753462,114995.35706900219
2001-09-01,141633.49792464983,237849.5946317852,121908.50921613148,174149.72165362418,198888.26410404276,115093.28725167073,130918.32885309715,245780.79934947685,147704.86729316783,193492.92323556225,213352.96367232685,144940.02457983283,191329.88977282948,168938.43346592973,214966.8963412363,165647.7119490674,180395.11480834373,139833.92570767718,,155227.77421148252,113109.60064929537,167805.43317295855,108528.54122549783,122214.2907356007,138630.01493167816,129520.51035919623,117422.56836748317,163894.4713025032,,157268.88080877755,163877.66415428443,126887.68292320978,106581.21173038824,131136.46146418728,93556.86455152894,92763.48975077462,104195.07127048222,80813.94612344244,131076.50923992155,,188054.3448820044,92578.27891001449,108551.86981264252,98247.18707402442,162782.23722449582,,88919.43575171505,110583.328933862,110808.61353937222,99181.59776204235,115426.14860197116
2001-10-01,142687.55328274972,239952.61695283116,123022.56480465458,175472.23810423925,201166.12051105054,115248.24493512897,131598.44873093758,249048.9429208328,148368.91037129046,194313.84820184147,214673.16321909125,146412.62729880735,193646.96763062486,169932.6954542099,216356.13087118117,167497.48484779042,180663.0438701911,140528.52793598667,,157074.84740790926,113554.53157939727,169043.57403495768,109038.70218161329,122529.44863634923,139022.46622022867,130350.11831614508,117794.0473416618,164470.5128788842,,159600.22171390385,164697.31202796422,127878.7709088095,106920.97501292492,131836.68450689584,93749.19109894858,93222.09685081123,104509.54646046106,81085.14776122454,131570.03829732796,,190181.00248571867,92867.6848767082,109196.65497105972,98672.03300932287,163632.92174901874,,89233.13925565527,110795.36509867369,111038.9772149248,99621.86954437161,115839.53366385447
2001-11-01,143778.45424174648,241928.27437430245,124090.98692790867,176856.6858336582,203249.4118888348,115361.46283008294,132215.71926299992,252259.6307181682,149056.9414192588,195035.67790209866,215748.98670026008,147536.25259821196,195858.72983495926,170861.9015459209,217589.44816961847,169282.0000585415,180858.8480890057,141158.02017759648,,158832.72194538714,113980.60314229602,170255.74909250176,109556.74335781026,122859.62278853865,139328.93022356858,131336.3093591243,118098.42154562853,164983.54391834806,,161684.88833007906,165638.24034208475,129054.76174501654,107254.12116386947,132502.6495561252,93881.65039222782,93565.97701251949,104754.91749182231,81248.7967660649,131883.727498454,,192039.2123810343,93144.08800099627,109883.66018346765,99082.82682025355,164517.84384151842,,89491.79087385382,111048.1376100174,111265.81092494167,100047.45190040488,116213.09779750672
2001-12-01,144813.85198064274,243775.76932516065,125138.84174524476,178326.6949779054,205126.8688309523,115452.92967795128,132786.98715742095,255282.06036276705,149700.26469150637,195917.93116434032,216593.98667325452,148367.6937531098,198101.93788197264,171823.97021478674,218688.7009638989,171050.74859666068,180947.20756650774,141744.75615598352,,160337.06715459327,114358.7539455886,171487.06237162172,110046.76827064768,123190.02335284604,139597.56393548797,132366.02156208726,118329.94561192211,165525.8788738468,,163718.21566836568,166699.01708062217,130197.38062833999,107501.58823414269,133142.07038997114,93959.67221900959,93837.0648321315,105089.3584192707,81361.98336948054,132160.9887832308,,193579.22554483466,93393.54652922503,110580.98465760029,99504.22559417102,165421.77516422034,,89722.17628352415,111216.17681291368,111513.28274648591,100483.48053470855,116550.94332348491
2002-01-01,145785.4048008863,245268.47268157382,126084.93799902285,179778.05904651483,206883.72297774092,115484.13885830778,133377.126817439,257739.8398376824,150238.24251619165,196663.4549176284,217073.4871145912,148941.65187577798,200251.71433843937,172692.6438603009,219470.14972193097,172816.5786689464,180969.04336454868,142244.10137782706,,161586.19355477605,114646.79195406474,172725.2656125552,110534.33006380843,123441.60008665739,139822.64208772534,133440.22792480202,118496.31852500651,166045.572416077,,165378.36605258903,167476.4743153891,131500.02682810617,107647.77595028073,133746.65694963344,94050.19504259137,93971.34680738584,105138.10032718179,81454.32545393368,132338.66984676677,,194795.68598432714,93600.68927266171,111216.93259561677,99903.30448404471,166344.45407209682,,89941.7480850832,111348.53606305878,111818.95827111856,100770.03509079212,116836.84391449527
